name,countryName,countryCode3,LAT,LON,continentName,birthyear,gender,industry,domain,L_star,HPI,AverageViews
Eugène Terre'Blanche,South Africa,ZAF,-26.316667,26.816667,Africa,1941,Male,ACTIVISM,PUBLIC FIGURE,3.931667788,19.3571159,37253.44444
Natasha Bedingfield,UNITED KINGDOM,GBR,51.0048,-0.0979,Europe,1981,Female,MUSIC,ARTS,3.556542914,17.2639751,148773.6667
Jo Nesbø,NORWAY,NOR,59.95,10.75,Europe,1960,Male,LANGUAGE,HUMANITIES,8.907888196,20.92325516,109793.8966
José Ribera,SPAIN,ESP,38.990278000000004,-0.521111,Europe,1591,Male,FINE ARTS,ARTS,6.380404741,24.16938413,30606.75
Anita Ekberg,SWEDEN,SWE,55.583333,13.033333,Europe,1931,Female,FILM AND THEATRE,ARTS,6.679156817,23.56515687,78099.22222
Hide,JAPAN,JPN,35.25,139.666667,Asia,1964,Male,MUSIC,ARTS,3.1779114,20.86300251,155101.8485
Federica Pellegrini,ITALY,ITA,45.5,12.1,Europe,1988,Female,INDIVIDUAL SPORTS,SPORTS,4.383929191,14.60694809,75842.34615
Isaac Levitan,LITHUANIA,LTU,54.622222,22.766667,Europe,1860,Male,FINE ARTS,ARTS,9.617732065,23.27342222,18961.43333
DJ BoBo,SWITZERLAND,CHE,47.333333,8.016667,Europe,1968,Male,MUSIC,ARTS,9.676643524,19.98282165,43458.85714
Pola Negri,POLAND,POL,52.85,19.166667,Europe,1897,Female,FILM AND THEATRE,ARTS,5.658599193,23.47780819,58364.2069
John Hennigan,United States,USA,33.758647,-118.345844,North America,1979,Male,INDIVIDUAL SPORTS,SPORTS,4.662895847,17.491912460000002,64884.96429
Pepi I Meryre,Unknown,UNK,NA,NA,Unknown,-2350,Male,GOVERNMENT,INSTITUTIONS,13.93657224,25.48046417,8146.4
George H. W. Bush,UNITED STATES,USA,42.25,-71.066667,North America,1924,Male,GOVERNMENT,INSTITUTIONS,4.955561506,26.41715486,195980.7339
Mardy Fish,UNITED STATES,USA,44.895556,-93.354722,North America,1981,Male,INDIVIDUAL SPORTS,SPORTS,3.952247538,14.85193397,41382.6875
